ID,ProjectNumber,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification
19,30,Lyme Bay,,,2019,1,"Between 2014 and 2019, over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students.",NA,5.5.3,Number of packages/‌initiatives,1,0,,Education,Historic,70,
23,95,Education,,,2022,,Blue Education supported the Maldives team to create an engaging educational website for fishers and school children to learn about the importance of their local coral reefs,NA,5.5.2,Number of schools,1,1,,Maldives,Historic,4,
24,95,Education,,,2022,1,Blue Education supported the Maldives team to create an engaging educational website for fishers and school children to learn about the importance of their local coral reefs,NA,5.5.3,Number of packages/‌initiatives,1,1,,Maldives,Historic,4,
25,11,St Helena,,,2021,,"BLUE has also been building local capacity through marine internships, education and training to develop marine conservation skills and experience on the island. ",NA,5.5.1,Number of students/general public,1,1,,,Historic,5,
26,11,St Helena,,,2021,1,"BLUE has also been building local capacity through marine internships, education and training to develop marine conservation skills and experience on the island. ",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,5,
29,61,Aeolians,,May,2021,1,"Community education campaign 1 – Ecotourism: The underwater beauty of Vulcano 
island - an open laboratory below the surfac",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,99,
591,61,Aeolians,,,2021,,seagrass ‘summer schools’ for university students refining their scientific dive skills,NA,5.5.1,Number of students/general public,1,0,how many students,,Historic,19,
30,61,Aeolians,,May,2021,30,Community education campaign 1 – Ecotourism: The underwater beauty of Vulcano island - an open laboratory below the surface. The event attracted 30 students in-person and 30 community members online.,NA,5.5.1,Number of students/general public,1,1,,,Historic,99,
31,61,Aeolians,,July,2021,300,"Community Education Campaign 2: ‘Eat Me Responsibly’ – sustainable seafood event This community event was extremely popular, attracting 300 attendees online.",NA,5.5.1,Number of students/general public,1,1,,,Historic,99,
28,30,Lyme Bay,,,2017,85,"BLUE’s education outreach programme sends fisher-ambassadors into schools to talk to children as young as seven. To date 85 schools have participated, engaging 5,188 students from all year groups",NA,5.5.2,Number of schools,1,0,,Education,Historic,9,
32,61,Aeolians,,July,2021,1,"Community Education Campaign 2: ‘Eat Me Responsibly’ – sustainable seafood event This community event was extremely popular, attracting 300 attendees online.",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,99,
35,61,Aeolians,,,2016,1,"he Aeolian Islands have been under consideration for marine protection since the early 1990s, but no meaningful progress was made until Blue, in collaboration with the Aeolian Island Preservation Fund, stepped up in 2016 to lay the foundations for a marine protected area",NA,5.6.3,Number of member organisations/‌representatives,0,1,,,Historic,10,
37,61,Aeolians,,,2019,2,n. BLUE is working with partner NGOs Oceana and Sea Shepherd to lobby the Italian government to designate the Aeolian MPA,NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,16,
38,61,Aeolians,,,2020,2,"September 15 to October 20, BLUE delivered Session 1 of the Understanding the Sea marine 
education programme, facilitated by the Kurma Association (led by Dr. Enrico Navarra, marine 
biologist) and the Wildlife Museum of the University of Messina",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,67,
33,61,Aeolians,,,2018,,"The fishermen of Stromboli and Salina Islands have signed up to responsible fishing ‘codes of conduct’, voluntarily reducing their gear and fishing pressure.",NA,5.6.1,Number of stakeholders,1,0,,,Historic,8,
34,61,Aeolians,,,2020,,"Small-scale fishers on the islands of Salina, Stromboli and Lipari have signed up to sustainable fishing codes of conduct, reducing their pressure on the marine environment",NA,5.6.1,Number of stakeholders,1,0,,,Historic,67,
39,61,Aeolians,,,2019,4,4 tonnes of ghost nets removed from the marine environment,NA,Litter removed,Mixed,1,1,,,Historic,17,
36,61,Aeolians,,,2018,1,BLUE and local partner the Aeolian Islands Preservation Fund,NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,15,
40,61,Aeolians,,Oct,2016,,Tim Glover and Rory Moore travel to the Aeolian Islands to meet with local fishermen and community leaders to assess the viability of applying the Lyme Bay fisheries model in the Mediterranean.,Progress,Progress,-,1,1,,,Historic,10,
42,61,Aeolians,,,2019,1,"In 2019, Blue Marine partnered with the Anton Dohrn Zoological Station (SZN) of Naples to set up the first project to study Posidonia oceania seagrass around Salina Island.",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,73,
43,61,Aeolians,,Nov,2021,40,"Community education campaign 3: A Marine Protected Area for the Aeolian Islands
To close the year of events and educational activities, BLUE hosted an evening event 
at the Ravesi Hotel. Project Manager, Giulia Bernardi, opened the event by presenting 
BLUE’s work in the Aeolian Islands since 2016 and explaining why a marine protected 
area would be beneficial for Salina, the second largest island in the archipelago. 40 
community members attended the even",NA,5.5.1,Number of students/general public,1,1,,,Historic,99,
44,61,Aeolians,,,2022,1,Blue Marine is working in the Aeolian Islands with the Sicily Environment Fund,NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,73,
41,61,Aeolians,,,2022,1,Blue Marine works closely with the Aeolian Island Preservation Fund to achieve this. ,NA,5.6.3,Number of member organisations/‌representatives,1,0,From L2M report,,Historic,,
45,61,Aeolians,,,2022,1,"An Aeolian marine life book with information on sustainable fish species, the best times of year to catch certain species (to allow them time to reproduce), minimum sizes of individuals, and innovative recipes to cook a diverse array of fish. It includes maps of the archipelago and highlights important habitats and sensitive marine areas",NA,5.3.2,Tools/‌activities,1,1,,,Historic,73,
46,61,Aeolians,,,2022,1,"Blue Marine research and carbon teams worked together to create a detailed infographic regarding the ecology and value of Posidonia seagrass meadows in the Aeolians. The infographic poster illustrates all the main environmental and economic benefits of Posidonia habitats, as well as its key role in carbon sequestration, and the benefits it provides to fish stocks, water quality, coastal resilience and local biodiversity.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,73,
47,61,Aeolians,,,2022,1,"Alongside the poster a Responsible Boating leaflet was distributed in all boat rental centres around the archipelago to inform tourists and visitors to the islands of good boating practice. The leaflet included a code of conduct to reduce pollution, damage to habitats, and impacts on endangered species such as loggerhead turtles and sperm whales. It also encouraged visiting boaters to report any evidence of illegal activity out on the water, no matter how seemingly insignificant",NA,5.3.2,Tools/‌activities,1,1,,,Historic,73,
48,61,Aeolians,,,2022,1,"Blue Marine developed a calendar showing all commonly consumed Aeolian seafood species, for display as a poster or leaflet. The calendar has images of 44 species, alongside both Latin and common names, and size limits for each. Under each image is the season when these species should be consumed, its level of sustainability/endangerment, and the best fishing method for catching them (long-lines, static nets, pots etc.).",NA,5.3.2,Tools/‌activities,1,1,link,,Historic,73,
49,61,Aeolians,,,2022,1,"Blue Marine commissioned a film using state of the art 360 degree underwater and above water cameras. The concept was that the underwater VR experience could be taken around the world where anyone with a headset could dive over Aeolian seamounts, through schools of fish, or over Posidonia meadows. The footage was narrated by a local marine biologist, passionate about protecting the Aeolian sea.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,73,
50,61,Aeolians,,,2019,1,"In 2019, Blue Marine brought artisanal fishermen from six sites across the Mediterranean to Lyme Bay for a knowledge and information exchange event.",NA,5.3.2,Tools/‌activities,1,1,Consider moving to med rollout,Balearics,Historic,73,
52,61,Aeolians,,,2016,1,"Aeolians: Responsible fishing group and label In 2016, Blue Marine decided to export the ‘Lyme Bay’ responsible fishing model to the Aeolian Islands. The project aimed to work with Aeolian fishermen by together creating voluntary codes of conduct which would set out best practices for fishing sustainably. he fishermen of Stromboli and Salina Islands signed up to responsible fishing ‘codes of conduct’, voluntarily reducing their gear and fishing pressure, in return for insulated fish boxes and ice machines t",NA,3.1.2,Number of policy instruments/regulations or similar influenced (please specify),0,1,,,Historic,73,
53,61,Aeolians,,,2016,1,"The creation of the Responsible Fishing Group (RFG) was an important factor in unifying all members under one common belief and forging a new local identity for the group. A responsible fishing logo was created for them, so that consumers might easily identify those following sustainable fishing practices when at market.",NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,73,
54,61,Aeolians,,,2023,23,"Today, the project includes ten people in Stromboli (almost all fishers) and 13 in Salina, including two women. Although the total number of members is less than before (23 against the initial 33), the group is more solid and unite in their mission.",NA,5.6.1,Number of stakeholders,1,1,,,Historic,73,
51,61,Aeolians,,,2016,1,"Aeolians: Responsible fishing group and label In 2016, Blue Marine decided to export the ‘Lyme Bay’ responsible fishing model to the Aeolian Islands. The project aimed to work with Aeolian fishermen by together creating voluntary codes of conduct which would set out best practices for fishing sustainably.",NA,3.2.2,Number of initiatives,1,0,,,Historic,73,
55,61,Aeolians,,Nov,2021,1,"Community education campaign 3: A Marine Protected Area for the Aeolian Islands
To close the year of events and educational activities, BLUE hosted an evening event 
at the Ravesi Hotel. Project Manager, Giulia Bernardi, opened the event by presenting 
BLUE’s work in the Aeolian Islands since 2016 and explaining why a marine protected 
area would be beneficial for Salina, the second largest island in the archipelago. 40 
community members attended the even",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,99,
60,33,Isle of Arran,,,2019,1,"Research by the University of York, supported by BLUE, has documented the recovery of marine life including shellfish species important to the local fishing fleet",NA,2.2.2,Number of species,,,,,Historic,7,
61,10,Ascension,,,2021,1,"The publication of the book Marine Life of Ascension by Dr Judith Brown in September, celebrates the Ascension MPA and its road to designation, alongside showcasing the rich biodiversity found in its waters",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,19,
62,10,Ascension,,,2022,3,"Three scientific papers published relating to the
Ascension MPA.",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,58,
56,61,Aeolians,,,2022,1,"Aeolians: Sustainable seafood calendar Blue Marine developed a calendar showing all commonly consumed Aeolian seafood species, for display as a poster or leaflet. The calendar has images of 44 species, alongside both Latin and common names, and size limits for each",NA,5.3.2,Tools/‌activities,1,0,,,Historic,79,
57,61,Aeolians,,,2016,1,"In 2016, Blue Marine decided to export the ‘Lyme Bay’ responsible fishing model to the Aeolian Islands. T",NA,3.2.2,Number of initiatives,1,0,,,Historic,79,
58,61,Aeolians,,,2022,40,A total of about 30 fishermen and 10 restaurants are participating in the project.,NA,5.6.1,Number of stakeholders,1,0,,,Historic,79,
59,61,Aeolians,,,2022,1,"Blue Marine developed a calendar showing all commonly consumed Aeolian seafood species, for display as a poster or leaflet. The calendar has images of 44 species, alongside both Latin and common names, and size limits for each",NA,5.3.2,Tools/‌activities,1,0,,,Historic,79,
63,10,Ascension,,,2020,1,Reconstructing the history of ocean wildlife around Ascension Island,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,https://eprints.whiterose.ac.uk/159154/1/Burns_et_al._2020_Ascension_Island_Accepted_Final_Manuscript.pdf,,Historic,61,
64,10,Ascension,,Jan,2016,1,"The day after Charles returned from Ascension, the Ascension Island Government agreed a plan to close over half its waters to fishing from January 2016, for the foreseeable future, with enforcement paid for by a major donor BLUE brought to the table",NA,1.1.2,Number of changes,1,1,,,Historic,11,
71,10,Ascension,,Sept,2021,443571,"Ascension declared its 445,000 sq km MPA, 99.5 per cent of which is completely closed to large scale commercial fishing.",NA,1.2.2,designated km2,1,1,,,Historic,19,
72,10,Ascension,,,2020,2000000,Took evidence of support from Islanders for NTZ conditional on financial support from UK Govt.  UK Govt announced decision to take forward designation.  BLUE secured £2million fund from Peter Lurssen to establish a Conservation Turst Fund.  This secured sustainable financing mechanism for the designation and removed the reliance on selling fishing licences.  ,NA,3.3.1,GBP,1,1,,,Historic,62,
73,10,Ascension,,,2022,1,The American base has ceased dumping food waste in the sea,NA,4.3.1,Number of changes,1,1,Is this because of us?,,Historic,4,
65,10,Ascension,,,2019,440000,"Adrian presented to councillors and filmed them saying how proud they were of Ascension and how much they would like an MPA, if the UK Government were to support them. BLUE then turned these interviews into a short film and in February 2019 presented it to MPs, including then Environment Secretary Michael Gove MP, back in Westminster. On 13 March, the then UK Chancellor of the Exchequer, Philip Hammond announced it would support the call from the Ascension islanders to create a 100 per cent MPA in Ascension’s waters",NA,1.2.1,proposed km2,1,0,,,Historic,7,
66,10,Ascension,,Jan,2016,0.00%,"In January 2016, BLUE helped secure the closure of 52.6 per cent of Ascension’s waters to fishing. T",NA,1.2.1,proposed km2,1,0,Need to split out this level of protection and how much was then added in 2019,,Historic,8,
67,10,Ascension,,,2019,443571,"400000 km2 - no take zone, largest in atlantic and 8th largest in the world announced ",NA,1.2.1,proposed km2,1,0,,,Historic,62,
68,10,Ascension,,,2016,?,"In 2016, BLUE secured the creation of a no-take zone in 52.6 per cent of Ascension Island’s waters.",NA,1.2.2,designated km2,0,0,,,Historic,7,
69,10,Ascension,,Jan,2017,,"On 3 January 2016, thanks to BLUE’s intervention, the UK and Ascension governments announced that 52.6 per cent of Ascension’s EEZ would be closed to fishing",NA,1.2.2,designated km2,0,0,,,Historic,9,
70,10,Ascension,,Aug,2020,443571,"99.5 per cent Ascension’s waters (440,000 km2) became officially protected from all types of fishing through the designation of the Ascension MPA, one of the largest no-take zones in the world.",NA,1.2.2,designated km2,1,0,,,Historic,18,
74,10,Ascension,,,2022,1,"During 2022 we recruited an MPA development and engagement officer, based on the island",NA,5.2.1,Number of monetary beneficiaries,1,1,,,Historic,4,
75,10,Ascension,,,2017,1,upporting a PhD student who is investigating why tuna in Ascension’s waters are bigger than anywhere else in the world,NA,5.2.1,Number of monetary beneficiaries,1,1,,,Historic,9,
77,10,Ascension,,,2019,,Visitor centre up and running,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,62,
81,10,Ascension,,,2016,,Binos for kids at two boats school,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,62,
82,10,Ascension,,,2022,,"The Blue Media unit sent out filming equipment, and the Conservation team received training in making social media content to publicise the MPA",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,4,
76,10,Ascension,,,2018,,Turtle interns,NA,5.2.2,Number of non-monetary beneficiaries,1,0,How many?,,Historic,62,
83,10,Ascension,,,2018,32,32 iPads for school children • A new science lab for Two Boats School,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,8,
78,10,Ascension,,,?,,Kitting out school with new science classroom,NA,5.2.2,Number of non-monetary beneficiaries,1,0,How many kids?,,Historic,62,
79,10,Ascension,,,?,,Providing lab equipment for conservation team,NA,5.2.2,Number of non-monetary beneficiaries,1,0,How big is conversation team,,Historic,62,
80,10,Ascension,,,?,,Buying iPad for school children,NA,5.2.2,Number of non-monetary beneficiaries,1,0,Same school?  If not how many kids?,,Historic,62,
84,10,Ascension,,,2018,,Turtle interns to monitor turtle breeding on Long Beach,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,8,
85,10,Ascension,,,2017,,d rebuilding the boardwalk up to the top of Green Mountain.,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,9,
86,10,Ascension,,,2017,,"providing state-of-the-art science equipment for the conservation team,",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,9,
87,10,Ascension,,,2022,,"Funding was provided both for a new sports field
and for eight additional community projects,
ensuring that islanders benefit directly from
the creation of the MPA",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,58,
89,10,Ascension,,Jan,2018,1,"In January 2019, BLUE’s Head of Overseas Territories flew out to Ascension to meet the island community and councillors. He ascertained that there was support on island for 100% marine protection as long as the island was not saddled with the cost of monitoring and enforcement. We conveyed these wishes and concerns via a specially made film to a gathering of MPs in London",NA,5.3.2,Tools/‌activities,0,1,,,Historic,16,
91,10,Ascension,,,?,1,The Ascension MPA Management Plan (covering the offshore area which is 99.5 per cent of Ascension’s waters) has been finalised and published.,NA,1.3.1,Number of MPAs (new mgmt measures),1,1,,,Historic,57,
94,10,Ascension,,,2015,1,"Charles Clover visited the island in October to meet the Ascension Island Government and the islanders. His visit was designed to coincide with a major expedition some of BLUE’s donors funded in the nick of time to look at the unexplored deep-water habitats around Ascension. Until this autumn, no one had looked at the island’s waters below dive depth. It was at the frontier of science. Twelve scientists from six top national institutes spent an intensive three days looking at what lived from 100 to 1000 metres from the British Antarctic Survey ship, the James Clark Ross. The results were both timely and persuasive, reminding the islanders of the uniqueness of what lies around their shores and tipping the scales further towards protection. Unprompted, the scientists called their report: ‘Marine biodiversity of Ascension Island’s shelf; scientific support for a marine protected area.’",NA,Progress,-,0,1,,,Historic,11,
88,10,Ascension,,,2021,1,"a book celebrating the marine life of Ascension by Dr Judith Brown, former head of conservation on Ascension",NA,5.3.2,Tools/‌activities,1,0,,,Historic,5,
95,68,Balearics,,,2021,,"In Ibiza, BLUE is developing an innovative Posidonia seagrass programme, leading the way for effective Mediterranean seagrass mapping, protection and restoration",NA,Progress,-,0,1,Is this the right II?,,Historic,5,
90,10,Ascension,,,2022,1,Ascension – A Gift to the World,NA,5.3.2,Tools/‌activities,1,0,Ascension – A Gift to the World,,Historic,66,
97,68,Balearics,,,2021,1,"BLUE is working with the Mallorca Preservation Fund, Marilles Foundation and LIFE (Low Impact Fishers of Europe) to investigate and report illegal fishing around the Balearic Islands to develop a seafood certification scheme that will support small-scale fishermen who fish sustainably within protected areas.",NA,3.2.2,Number of initiatives,1,1,,,Historic,18,
92,10,Ascension,,,2018,,Turtle ponds repaired,NA,Progress,-,0,0,,,Historic,62,
93,10,Ascension,,,?,,Repairing boardwalk to top of Green Mountain,NA,Progress,-,0,0,,,Historic,62,
98,68,Balearics,,,2022,1,"Over the past year, Blue Marine has supported the development of a key report that creates a road map for tackling IUU fishing in the Balearics for the next two years. ‘Ending illegal fisheries and fish fraud in the Balearics (2022-24)’, has been the catalyst for round-table debates, community awareness events and",NA,4.1.1,"Reports, ‌investigations, published papers or similar",1,1,,,Historic,4,
101,68,Balearics,,,2020,1,Menorca’s fish markets have stopped using any plastic packaging,NA,4.3.1,Number of changes,0,1,Is this because of us?,,Historic,6,
96,68,Balearics,,,2020,1,"BLUE is working with the Mallorca Preservation Fund, Marilles Foundation and LIFE (Low Impact Fishers of Europe) to investigate and report illegal fishing around the Balearic Islands and to develop a seafood certification scheme",NA,3.2.2,Number of initiatives,1,0,Did this launch?,,Historic,6,
103,61,Aeolians,,Nov,2021,1,"Community education campaign 4: Ocean education with MuMa Milazzo Sea Museum In November, BLUE was able to partner with the MuMa Milazzo Sea Museum to host an event for 50 students.",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,99,
104,61,Aeolians,,Nov,2021,50,"Community education campaign 4: Ocean education with MuMa Milazzo Sea Museum
In November, BLUE was able to partner with the MuMa Milazzo Sea Museum to host an 
event for 50 students.",NA,5.5.1,Number of students/general public,1,1,,,Historic,99,
99,68,Balearics,,,2021,1,"A report commissioned by BLUE, Marilles Foundation and the Conservation Collective estimates that as much as 40 per cent of fish traded in the Balearics is illegally caught and sold",NA,4.1.1,"Reports, ‌investigations, published papers or similar",1,0,,,Historic,5,
100,68,Balearics,,,2021,1,". A report commissioned by Blue Marine, the Marilles Foundation and the Conservation Collective, estimates that as much as 40 per cent of fish traded in the Balearics is illegally caught and sold.",NA,4.1.1,"Reports, ‌investigations, published papers or similar",1,0,,,Historic,19,
105,14,St Vincent,,,2022,,"During 2022, Blue Marine conducted 93 conch dive surveys and 69 baseline reef fish surveys, including training of local conch divers and Government Fisheries staff.",NA,5.5.1,Number of students/general public,1,1,How many people trained?,,Historic,4,
102,68,Balearics,,,2018,1,A BLUE small-scale fisheries exchange programme brought fishermen from three existing MPAs in Italy and from Lyme Bay in the UK to the Aeolians,NA,5.3.2,Tools/‌activities,1,0,,,Historic,8,
106,68,Balearics,,,2022,1, the creation of the Balearic Illegal Fisheries Steering Group,NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,4,
107,68,Balearics,,,2022,, the creation of the Balearic Illegal Fisheries Steering Group,NA,5.6.3,Number of member organisations/‌representatives,1,1,how many organsations,,Historic,4,
109,68,Balearics,,,2020,3,"BLUE is working with the Mallorca Preservation Fund, Marilles Foundation and LIFE (Low Impact Fishers of Europe) to investigate and report illegal fishing around the Balearic Islands and to develop a seafood certification scheme",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,6,
110,68,Balearics,,,2018,2,"BLUE teamed up with local NGO, the Menorca Preservation Fund and Sunseeker International, on a project to improve marine protection, restore vulnerable seagrass beds by establishing a network of ‘eco-moorings’, removing ghost fishing nets, monitoring illegal fishing and reducing pollution.",NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,8,
113,94.1,Barclays Carbon,,Feb,2022,1,1: report: seabed carbon (Feb 2022),NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,1,
108,68,Balearics,,,2020,1,BLUE is working with the Menorca Preservation Fund,NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,6,
114,94.1,Barclays Carbon,,Mar,2022,1,1: report: all aspects blue carbon (March 22),NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,1,
116,94.1,Barclays Carbon,,Sept,2022,1,1: Identifying priority aras bottom towed fishing uk (Sept 22),NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,1,
111,68,Balearics,,,2021,3,"BLUE is working with the Mallorca Preservation Fund, Marilles Foundation and LIFE (Low Impact Fishers of Europe) to investigate and report illegal fishing around the Balearic Islands to develop a seafood certification scheme that will support small-scale fishermen who fish sustainably within protected areas.",NA,5.6.3,Number of member organisations/‌representatives,1,0,,,Historic,18,
112,68,Balearics,,,2021,2,". A report commissioned by Blue Marine, the Marilles Foundation and the Conservation Collective, estimates that as much as 40 per cent of fish traded in the Balearics is illegally caught and sold.",NA,5.6.3,Number of member organisations/‌representatives,1,0,Where is this report?,,Historic,19,
117,94.1,Barclays Carbon,,,2022,1,"1: A report on the science, policy, co-benefits and market interests of blue carbon in the UK and overseas territories was published, which provides advice and evidence on the voluntary carbon market in the UK.",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,1,
121,94.1,Barclays Carbon,,Jun,2021,300,"BLUE conference held on 9 June, achieving over 700 views on YouTube and 300 attendees. Blue carbon content was seen across BLUE’s social media channels over 93,000 times",NA,5.3.1,Number of stakeholders,1,1,,,Historic,57,
115,94.1,Barclays carbon,,Jun,2022,1,1: report on gaps in UK blue carbon audits (June 2022),NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,1,
122,94.1,Barclays Carbon,,Jun,2021,1,"BLUE held a Blue Carbon Conference on 9 June,
bringing together leading blue carbon practitioners,
project developers, scientists, and policy makers to
share progress and set ambition ahead of COP26.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,57,
123,94.1,Barclays Carbon,,,2022,28,28 member organisations of UK blue carbon forum,NA,5.6.3,Number of member organisations/‌representatives,1,1,,,Historic,1,
118,94.1,Barclays carbon,,,2022,5,5: BLUE have been involved in 12 research reports regarding different aspects of blue carbon. Currently 5 have been completed. ,NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",0,0,,,Historic,1,
119,94.1,Barclays Carbon,,,,12,"Either as direct leads or major collaborators, we have contributed to 12 reports on blue carbon covering seabed sediments, macroalgae and saltmarsh in the UK and globally",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,58,
120,94.1,Barclays Carbon,,,,1,"In March 2022 we published a report on the science, policy, co-benefits, and market interests of blue carbon in the UK",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,58,
126,#N/A,Bass,,,2014,1,"In 2014, a report commissioned by BLUE questioned the legality of over-fishing under European law. This work underpins BLUE’s ongoing campaign to curb over-fishing of sea bass which last year saw emergency measures imposed across the EU.",NA,4.1.2,Number of policy instruments/regulations or similar influenced,1,1,,,Historic,11,
127,#N/A,Bass,,,2015,1,"• BLUE organises a Bass Symposium, inviting key participants in the bass debate to forge new alliances to solve over-fishing ahead of European legislative talks in December",NA,5.3.2,Tools/‌activities,1,1,,,Historic,11,
