ID,Proj No,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification,project_id,id
423,62,Italy,,,2020,?,Torre Guaceto & Egadi: BLUE is working in these two existing Italian MPAs with staff and fishermen to improve marine protection. This is through the adoption of fishing codes of conduct and the expansion of no-take zones.,,Progress,-,1,1.0,what is area ot NTZ extension,,Historic,6,,35,3500010603.0
424,62,Italy,,,2022,1,"In 2022, we also initiated seven new projects in Tuscany: Tuscan archipelago national park (80,000 ha)",,Progress,-,1,1.0,,,Historic,4,,35,3500010701.0
425,62,Italy,,,2022,1,"In 2022, we also initiated seven new projects in Sardinia: Capo Carbonara, Asinara, Capo Caccia (29,000 ha) ",,Progress,-,1,1.0,,,Historic,4,,35,3500010702.0
426,62,Italy,,,2022,1,"In 2022, we also initiated seven new projects in Sicily: Egadi, Pelagie (60,000 ha) ",,Progress,-,1,1.0,,,Historic,4,,35,3500010703.0
427,62,Italy,,,2022,1,"In 2022, we also initiated seven new projects in Apulia: Torre Guaceto (2,300 ha) ",,Progress,-,1,1.0,,,Historic,4,,35,3500030801.0
429,62,Italy,,,2020,1,Torre Guaceto & Egadi: BLUE is working in these two existing Italian MPAs with staff and fishermen to improve marine protection. This is through the adoption of fishing codes of conduct and the expansion of no-take zones.,,3.2.1,Number of fisheries ,1,1.0,,,Historic,6,,35,3500030802.0
430,62,Italy,,,2018,1,"BLUE as successfully applied the Lyme Bay Model on two islands involving 35 fishermen.  Fishers on Stromboli and Salina have signed responsible fishing codes of conduct, reducing gear, increasing mesh size and reducing fisher seasons.  In return, insulated fish boxes have been delivered to participating fishers and communal ice machines will give local fishers access to ice for the first time on the islands, improving the quality and value of their catch",,3.2.1,Number of fisheries ,1,1.0,,,Historic,15,,35,3500030901.0
432,62,Italy,,,2022,1,"Technical report outlining placement procedures and getting the anti-trawling devices positioning, in Torre Guaceto MPA (Apulia, South of Italy, Med Sea) ",,Progress,-,1,1.0,https://www.riservaditorreguaceto.it/index.php/it/progetti-in-corso/sistemi-antistrascico ,,Historic,66,,35,3500030902.0
428,62,Italy,,,2022,1,"report to Env ministery, reports and surveys on sharks and rays",,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0.0,Check logframe for detail,,Historic,1,,35,3500030903.0
433,62,Italy,,,2022,,Around one MPA we also deployed anti-trawling devices.,,4.2.1,km2,1,1.0,,,Historic,4,,35,3500011001.0
434,62,Italy,,,2022,,"Interns, trained people for monitoring, MSc students, school students involved in education programmes",,5.2.2,Number of non-monetary beneficiaries,1,1.0,,,Historic,1,,35,3500000001.0
431,62,Italy,,,2021,1,"BLUE has successfully applied a small-scale fisheries model, and a complementary sustainable seafood label 'Qui Serve Pesce Locale'",,3.2.2,Number of initiatives,1,0.0,,,Historic,5,,35,3500000002.0
436,62,Italy,,,2018,35,"BLUE as successfully applied the Lyme Bay Model on two islands involving 35 fishermen.  Fishers on Stromboli and Salina have signed responsible fishing codes of conduct, reducing gear, increasing mesh size and reducing fisher seasons.  In return, insulated fish boxes have been delivered to participating fishers and communal ice machines will give local fishers access to ice for the first time on the islands, improving the quality and value of their catch",,5.2.2,Number of non-monetary beneficiaries,1,1.0,,,Historic,15,,35,3500000003.0
439,62,Italy,,,2021,225,225 people reached through events and presentations featuring the Aeolian Island marine education programme,,5.3.1,Number of stakeholders,1,1.0,,,Historic,18,,35,3500000004.0
440,62,Italy,,,2022,,"Meetings explaining projects, school children coming aboard fishing boats, visitors and recipients of marine awareness courses and educational materials",,Progress,-,1,1.0,,,Historic,1,,35,3500000005.0
435,62,Italy,,,2019,,BLUE supports the fishermen with insulated fish boxes and ice machines so that fish remains of a premium quality and can be sold at a top price,,5.2.2,Number of non-monetary beneficiaries,1,0.0,How many fishermen?,,Historic,7,,35,3500000006.0
442,62,Italy,,,2019,90,Ninety per cent of fishermen on the islands of Salina and Stromboli have signed up to responsible fishing “codes of conduct”,,5.3.3,Percentage,1,1.0,,,Historic,7,,35,3500000007.0
437,62,Italy,,,2021,,". Insulated fish boxes and mobile fish markets have been provided to allow fishermen involved to sell sustainable, traceable, high-quality fish at a fair price",,5.2.2,Number of non-monetary beneficiaries,1,0.0,How many fishermen using this?,,Historic,18,,35,3500000008.0
441,62,Italy,,,2022,1,newly created Italian MPA ‘Makerzine,,5.3.2,Tools/‌activities,1,0.0,,Education,Historic,4,,35,3500000009.0
443,62,Italy,,,2019,90,This ‘bottom-up’ approach is working well in the Aeolians with over 90% of fishermen on Salina and Stromboli signed up to Codes of Conduct.,,5.3.3,Percentage,1,0.0,,,Historic,16,,35,3500000010.0
449,20,Maldives,,,2017,400,"Our education programme has raised awareness about the critical status of the grouper fishery. Through a series of practical games and presentations at all thirteen schools in Laamu Atoll where the project is based, we encouraged over 400 children to get excited about marine life",,5.5.1,Number of students/general public,1,1.0,,,Historic,9,,35,3500000011.0
450,20,Maldives,,,2017,13,"Our education programme has raised awareness about the critical status of the grouper fishery. Through a series of practical games and presentations at all thirteen schools in Laamu Atoll where the project is based, we encouraged over 400 children to get excited about marine life",,5.5.2,Number of schools,1,1.0,,Education,Historic,9,,35,3500000016.0
451,20,Maldives,,,2017,1,"Our education programme has raised awareness about the critical status of the grouper fishery. Through a series of practical games and presentations at all thirteen schools in Laamu Atoll where the project is based, we encouraged over 400 children to get excited about marine life",,5.5.3,Number of packages/‌initiatives,1,1.0,,Education,Historic,9,,35,3500000017.0
452,62,Italy,,,2021,10,Over 10 local schools and 700 local children engaged in educational programs,,5.5.2,Number of schools,1,1.0,,,Historic,19,,35,3500000018.0
453,62,Italy,,,2018,35,"BLUE as successfully applied the Lyme Bay Model on two islands involving 35 fishermen.  Fishers on Stromboli and Salina have signed responsible fishing codes of conduct, reducing gear, increasing mesh size and reducing fisher seasons.  In return, insulated fish boxes have been delivered to participating fishers and communal ice machines will give local fishers access to ice for the first time on the islands, improving the quality and value of their catch",,5.2.1,Number of monetary beneficiaries,1,1.0,,,Historic,15,,35,3500000019.0
454,62,Italy,,,2021,,"In 2021 BLUE worked with Regione Sicilia for the designation of new Natura 2000 Habitats Directives sites,",,5.6.3,Number of member organisations/‌representatives,1,1.0,,,Historic,5,,35,3500000020.0
455,62,Italy,,,2020,1,"Last summer, hundreds of local schoolchildren were captivated by BLUE’s ‘Understanding the Sea’ marine education programme facilitated by our partners, the Kurma Association",,5.6.3,Number of member organisations/‌representatives,1,1.0,,,Historic,5,,35,3500000021.0
456,62,Italy,,,2019,1,BLUE’s partnership with Healthy seas and Ghost Fishing saw 10 tons of discarded “ghost gear” removed from waters around the Aeolian Islands.,,5.6.3,Number of member organisations/‌representatives,1,1.0,,,Historic,7,,20,2000010101.0
457,62,Italy,,,2019,10,90% of fishermen in the Aeolians have signed codes of conduct to fish sustainably. Ten tonnes of ‘ghost’ fishing gear were removed from the surrounding seas.,,Litter removed,Mixed,1,1.0,,,Historic,17,,20,2000010102.0
458,62,Italy,,,2022,,"Blue Marine has also removed tons of discarded ‘ghost nets’, found exceptional populations of sharks and rays, and ensured that existing MPAs are enlarged and managed effectively.",,Litter removed,Mixed,1,1.0,,,Historic,4,,20,2000010103.0
459,62,Italy,,,2019,10,BLUE’s partnership with Healthy seas and Ghost Fishing saw 10 tons of discarded “ghost gear” removed from waters around the Aeolian Islands.,,Litter removed,Mixed,1,1.0,,,Historic,7,,20,2000010104.0
460,62,Italy,,,2022,1,"Removal of ghost fishing gear from Capo Carbonara MPA (Italy): 466 metres of net, 41 pots (tonnage not recorded)",,Litter removed,Mixed,1,1.0,,,Historic,66,,20,2000010105.0
461,62,Italy,,,2023,104,"104 kg comprising plastic, metal, cigarettes, glass, paper, iron and other material",,Litter removed,Mixed,1,1.0,,,Historic,98,,20,2000010106.0
463,62,Italy,,,2023,1,"In Egadi MPA, fishermen are also committed to codes of conduct, and have their own ‘Sustainable Fishery Label’ which involves local stakeholders (restaurant owners and chefs) and the public. A total of about 30 fishermen and 10 restaurants are participating in the project.",,3.2.2,Number of initiatives,1,1.0,,,Historic,73,,20,2000010107.0
465,62,Italy,,,2019,1,"In 2019, Blue Marine facilitated the formation of Salina’s MPA Committee; a local movement which now boasts around 70 members, and an inner directional group of 13 of these members (one representative from each group of stakeholders: fishermen, boat rental companies, restaurants, hotels etc.).",,5.6.2,Number of coalitions/‌ working groups,1,1.0,,,Historic,73,,20,2000010108.0
466,62,Italy,,Oct,2018,20,". In October 2018, two diving missions in collaboration with the Healthy Seas initiative, the Ghost Fishing Foundation, the Aeolian Islands Preservation Fund, the local coastguard, diving centres and fishermen collected approximately 20 tonnes of ghost nets (mostly lightweight gill nets and long-lines), and rescued numerous starfish, sea urchins, rock crabs, sea cucumbers and juvenile fish in the process",,Litter removed,Mixed,1,1.0,,,Historic,73,,20,2000010109.0
467,62,Italy,,,2020,1,"Blue Marine also cooperated with local fishermen from the group, ‘Aeolian Islands Responsible Fishing’, who delivered their own old fishing nets to have them transformed into ECONYL® regenerated nylon",,Progress,-,1,1.0,,,Historic,73,,20,2000010110.0
462,62,Italy,,,2023,1,"In Egadi MPA, fishermen are also committed to codes of conduct, and have their own ‘Sustainable Fishery Label’ which involves local stakeholders (restaurant owners and chefs) and the public. A total of about 30 fishermen and 10 restaurants are participating in the project.",,3.2.2,Number of initiatives,1,0.0,,,Historic,73,,20,2000020201.0
474,35,Jersey,,,2022,1,"In partnership with Govt of Jersey, report outlining the blue carbon in Jersey's waters  ",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,https://www.gov.je/News/2022/pages/bluecarbonresearchpublished.aspx  ,,Historic,66,,20,2000020202.0
464,62,Italy,,,2023,30,"In Egadi MPA, fishermen are also committed to codes of conduct, and have their own ‘Sustainable Fishery Label’ which involves local stakeholders (restaurant owners and chefs) and the public. A total of about 30 fishermen and 10 restaurants are participating in the project.",,5.2.1,Number of monetary beneficiaries,1,0.0,,,Historic,73,,20,2000020203.0
475,35,Jersey,,,2022,1,"Blue Marine-funded PhD published chapter: Value of coastal habitats to commercial fisheries in Jersey, English Channel, and the role of marine protected areas ",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,https://onlinelibrary.wiley.com/doi/10.1111/fme.12571  ,,Historic,66,,20,2000020204.0
476,35,Jersey,,,2022,1,Blue Marine-funded PhD published chapter:  Removal of bottom-towed fishing from whole-site Marine Protected Areas promotes mobile species biodiversity ,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,https://www.sciencedirect.com/science/article/pii/S0272771422002918?via%3Dihub  ,,Historic,66,,20,2000020205.0
480,35,Jersey,,,2022,1,"Delivering a Marine Park for Jersey: For People, Nature and Climate",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,https://www.bluemarinefoundation.com/wp-content/uploads/2022/02/JerseyBriefing_2022_Digital_Final.pdf,,Historic,61,,20,2000020206.0
468,35,Jersey,,,2022,1,blue carbon report,,1.1.1,"Reports, investigations, published papers or similar",0,0.0,,,Historic,1,,20,2000020207.0
469,35,Jersey,,,2022,3,3 published papers,,1.1.1,"Reports, investigations, published papers or similar",0,0.0,,,Historic,1,,20,2000020208.0
470,35,Jersey,,,2021,1,A report commissioned by BLUE emphasises the potential of Jersey’s sea habitats for a Marine Park,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,18,,20,2000020301.0
471,35,Jersey,,,2021,1,"A cost benefit analysis of a Marine
Park in terms of its impact on the local
fishing fleet has been completed..",,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,57,,20,2000020302.0
472,35,Jersey,,,2022,1,The Blue Marine funded four-year PhD study has come to an end. One chapter has been published,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,58,,20,2000020303.0
473,35,Jersey,,,2022,1,"Phase One of a Jersey blue carbon
report has been completed (deskbased
review)",,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,58,,20,2000020304.0
482,35,Jersey,,,2022,1,"The States of Jersey
committed to developing a
network of MPAs within the
marine spatial plan.",,1.1.2,Number of changes,1,1.0,,,Historic,58,,20,2000020305.0
484,35,Jersey,,,2023,1,Results showed that indicator species such as wrasse and juvenile bream were detected more frequently inside the MPAs.,,2.2.3,,1,1.0,,,Historic,73,,20,2000020306.0
486,35,Jersey,,,2022,1,The socio-economic impact of Marine Protected Areas in Jersey: A fishers’ perspective ,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1.0,https://www.sciencedirect.com/science/article/pii/S0165783622003320  ,,Historic,66,,20,2000030401.0
477,35,Jersey,,,2023,1,A valuation of Jersey's marine habitats in providing ecosystem services,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,https://www.bluemarinefoundation.com/wp-content/uploads/2023/05/20230406_Jersey_ESV_Report.pdf ,,Historic,98,,20,2000030402.0
478,35,Jersey,,,2022,1,Removal of bottom-towed fishing from whole-site Marine Protected Areas promotes mobile species biodiversity,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,https://www.sciencedirect.com/science/article/pii/S0272771422002918?via%3Dihub ,,Historic,61,,20,2000030403.0
479,35,Jersey,,,2022,1,The socio-economic impact of Marine Protected Areas in Jersey: A fishers’ perspective,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,https://www.sciencedirect.com/science/article/pii/S0165783622003320 ,,Historic,61,,20,2000030404.0
487,35,Jersey,,,2022,1,Fisheries Review and Cost Benefit Analysis of Implementing a Static Gear Marine Park in Jersey ,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1.0,https://www.bluemarinefoundation.com/wp-content/uploads/2022/10/3299R01C_MEP-Fisheries-review-and-impact-assessment_FINAL.pdf ,,Historic,66,,20,2000030405.0
481,35,Jersey,,,2023,1,A Valuation of Jersey's Marine Habitats in Providing Ecosystem Services,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,https://www.bluemarinefoundation.com/wp-content/uploads/2023/05/20230406_Jersey_ESV_Report.pdf,,Historic,61,,20,2000000001.0
488,35,Jersey,,,2022,1,Feasibility of a low impact fisheries model in Jersey - Final Report ,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1.0,https://www.bluemarinefoundation.com/wp-content/uploads/2022/10/3299R02B_Feasibility-of-a-low-impact-fisheries-model-in-Jersey_Final-report_070422.pdf  ,,Historic,66,,62,6200010101.0
483,35,Jersey,,,2022,1,Commitment by Jersey Government to designate a network of MPAs.,,1.1.2,Number of changes,1,0.0,,,Historic,66,,62,6200010102.0
490,35,Jersey,,,2022,1,"Value of coastal habitats to commercial fisheries in Jersey, English Channel, and the role of marine protected areas",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,https://onlinelibrary.wiley.com/doi/10.1111/fme.12571 ,,Historic,61,,62,6200010103.0
485,35,Jersey,,,2022,1,MEP report submitted to gov jersey,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0.0,,,Historic,1,,62,6200010104.0
492,35,Jersey,,,2021,1,"BLUE is working to increase support for low-impact fisheries on the island through a promotional scallop label, ‘Jersey Hand Dived’, launched to boost consumer awareness on differing scallop fishing methods",,3.2.2,Number of initiatives,1,1.0,,,Historic,5,,62,6200010105.0
496,35,Jersey,,Sept,2021,1,"In 2021, Blue Marine launched ‘Jersey Hand Dived’, a label promoting scallops caught locally through hand-diving.",,3.2.2,Number of initiatives,1,1.0,,,Historic,73,,62,6200010106.0
498,35,Jersey,,Sept,2021,1,"In 2021, Blue Marine launched ‘Jersey Hand Dived’, a label promoting scallops caught locally through hand-diving",,3.2.2,Number of initiatives,1,1.0,,,Historic,79,,62,6200010107.0
489,35,Jersey,,,2021,1,Fisheries Review and Cost Benefit Analysis of Implementing a Static Gear Marine Park in Jersey,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0.0,https://www.bluemarinefoundation.com/wp-content/uploads/2022/10/3299R01C_MEP-Fisheries-review-and-impact-assessment_FINAL.pdf,,Historic,61,,62,6200010108.0
500,35,Jersey,,,2022,1,Research from BLUE-funded PhD student Sam Blampied continues to show recovery within existing marine protected areas (MPAs).,,5.2.1,Number of monetary beneficiaries,1,1.0,,,Historic,5,,62,6200010201.0
491,35,Jersey,,,2022,1,Feasibility of a low impact fisheries model in Jersey - Final Report,,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0.0,https://www.bluemarinefoundation.com/wp-content/uploads/2022/10/3299R02B_Feasibility-of-a-low-impact-fisheries-model-in-Jersey_Final-report_070422.pdf,,Historic,61,,62,6200010202.0
504,35,Jersey,,,2022,2,"We have also supported several MSc
projects including a Potting Study
and puffin essential fish habitat study.
The 2021 MSc seagrass project (that
showed older seagrass beds hold
more carbon in Jersey) is also under
review for publication.",,5.2.2,Number of non-monetary beneficiaries,1,1.0,,,Historic,58,,62,6200010203.0
493,35,Jersey,,Aug,2021,1,"‘Jersey Hand Dived’, launched to boost consumer awareness on differing scallop fishing methods.",,3.2.2,Number of initiatives,1,0.0,,,Historic,19,,62,6200010204.0
494,35,Jersey,,Sept,2021,1,"Jersey Seafood Label: A partner for the promotion of local seafood has been found, with a website being developed in partnership (Matt Sharp)",,3.2.2,Number of initiatives,1,0.0,,,Historic,57,,62,6200010205.0
495,35,Jersey,,Sept,2021,1,"The ‘Jersey Hand Dived’
scallop label has been finalised, with local scallop
divers contacted and sign-ups underway",,3.2.2,Number of initiatives,1,0.0,,,Historic,57,,62,6200010301.0
506,35,Jersey,,,2022,14,snorkel trail education packages etc,,5.3.2,Tools/‌activities,1,1.0,Check logframe for details - missing from sheet,,Historic,1,,62,6200010302.0
497,35,Jersey,,Sept,2021,1,"In 2021, Blue Marine started supporting a local initiative called Jersea.je, an educational platform, started by local photographer Matt Sharp, for the Jersey community to learn about and celebrate the Island’s marine environment and the culture associated with it. Blue Marine helped to supplement Jersea with a ‘Fish of the Month’ initiative to showcase local seafood and connect islanders to local fishers and fishmongers. ",,3.2.2,Number of initiatives,1,0.0,,,Historic,73,,62,6200010303.0
507,35,Jersey,,,2021,1,"In partnership with a local underwater photographer, BLUE has developed an educational website, ‘Jersea",,5.3.2,Tools/‌activities,1,1.0,,,Historic,5,,62,6200010304.0
499,35,Jersey,,Sept,2021,1,"In 2021, Blue Marine started supporting a local initiative called Jersea.je, an educational platform, started by local photographer Matt Sharp, for the Jersey community to learn about and celebrate the Island’s marine environment and the culture associated with it",,3.2.2,Number of initiatives,1,0.0,,,Historic,79,,62,6200010305.0
508,35,Jersey,,Apr,2022,1,"A component of the project connecting people to the sea, called Snorkel Portelet, launched in 2022, providing residents and tourists the opportunity to explore Jersey’s valuable marine environment. ",,5.3.2,Tools/‌activities,1,1.0,,,Historic,23,,62,6200010306.0
501,35,Jersey,,,2022,1,"Samantha Blampied has now completed her PhD, demonstrating the value of Jersey’s existing MPAs and supporting an ecosystem-based approach to fisheries management",,5.2.1,Number of monetary beneficiaries,1,0.0,,,Historic,58,,62,6200010307.0
502,35,Jersey,,,2022,180,180 Schoolkids for snorkel trail,,5.2.2,Number of non-monetary beneficiaries,1,0.0,,,Historic,62,,62,6200010308.0
503,35,Jersey,,Sept,2022,2,Sand eel and potting MSc's completed in September,,5.2.2,Number of non-monetary beneficiaries,1,0.0,,,Historic,1,,62,6200010401.0
509,35,Jersey,,Apr,2023,1,Snorkel Bouley launched in 2023,,5.3.2,Tools/‌activities,1,1.0,,,Historic,,,62,6200010402.0
505,35,Jersey,,,2021,1,A “Jersey Hand Dived” label has been developed and finalised with local scallop divers signing up,,5.3.2,Tools/‌activities,1,0.0,,,Historic,18,,62,6200010403.0
510,35,Jersey,,May,2022,2,"The snorkel trail was launched in May,
supplemented with a promotional
film",,5.3.2,Tools/‌activities,1,1.0,,,Historic,58,,62,6200010404.0
511,35,Jersey,,,2022,1,"The trails are also linked with a
citizen science program, aimed
at supplementing research and
monitoring of the NTZ. An app has
been developed, which can be
accessed through scanning a QR
code on the signage.",,5.3.2,Tools/‌activities,1,1.0,,,Historic,58,,62,6200010405.0
513,35,Jersey,,,2022,1,Jersey snorkel trail video,,5.3.2,Tools/‌activities,1,1.0,,Education,Historic,64,,62,6200010406.0
514,35,Jersey,,,?,1,A citizen science portal is in development by the Société Jersiaise Marine Biology section and Blue Marine,,Progress,-,1,1.0,,,Historic,78,,62,6200010407.0
515,62,Italy,,,2021,700,Over 10 local schools and 700 local children engaged in educational programs,,5.5.1,Number of students/general public,1,1.0,,,Historic,19,,62,6200010501.0
512,35,Jersey,,,2022,1,Snorkel Portelet,,5.3.2,Tools/‌activities,1,0.0,Snorkel Portelet,,Historic,66,,62,6200010502.0
518,35,Jersey,,Jun,2022,1,Working with Bouley Bay Dive Centre,,5.6.3,Number of member organisations/‌representatives,1,1.0,,,Historic,78,,62,6200010503.0
519,35,Jersey,,,2022,1,"Seabed sediment sample analysis for Anna's PhD for carbon analysis. This work will play a key role in further understanding Jerseys blue carbon ecosystems, enabling better management of the local marine resource to subsequently tackle the climate crisis.  ",,Progress,-,1,1.0,,,Historic,62,,62,6200010504.0
520,35,Jersey,,,2022,14,14 dives during survey,,Progress,-,1,1.0,Consider removing - no longer count sites surveyes,,Historic,1,,62,6200010505.0
521,35,Jersey,,,2021,1,"n. BLUE submitted a response to the government calling for the Marine Park to be designated, which led Jersey’s Deputy Chief Minister to table an amendment in favour of this response",,Progress,-,1,1.0,,,Historic,18,,62,6200010507.0
522,35,Jersey,,Sept,2021,1,"In 2021, an MSc project examined Jersey’s seagrass beds of differing ages with respect to carbon storage and biodiversity influence",,5.2.2,Number of non-monetary beneficiaries,1,0.0,,,Historic,72,,62,6200010508.0
633,20,Maldives,,,?,1,"As well as continuing our education and outreach work, funding will allow continuation of critical grouper surveys to understand their spawning aggregations and allow the team to work with Hithadhoo Council to develop management of a Locally Managed Marine Area at Hithadhoo Corner through creation of a Marine Management Plan including no-take zone to protect key biodiversity.",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,,,Historic,62,,62,6200010601.0
634,20,Maldives,,,2022,1,"Laamu fisher meeting report compiled. 
",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,,,Historic,1,,62,6200010602.0
635,20,Maldives,,,2022,1,"Coral reef monitoring, ",,Progress,-,1,1.0,,,Historic,1,,62,6200010603.0
637,20,Maldives,,,2022,2,fish biomass being removed from Laamu's reefs and gleaning on two islands of Laamu Atoll reports compiled. ,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,,,Historic,1,,62,6200010604.0
639,20,Maldives,,May,2018,1,"In May 2018, BLUE submitted a summary of the results and recommendations from our ‘Grouper Fishery and Conservation Project’ to the Maldivian government.",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,,,Historic,16,,62,6200010605.0
643,20,Maldives,,,2021,1,Research by BLUE and its partners in the Maldives Underwater Initiative was used to justify the Hope Spot and the MPA site selection,,1.1.2,Number of changes,1,1.0,,,Historic,5,,62,6200010606.0
646,20,Maldives,,Dec,2021,26.7,"Six new marine protected areas were designated on Laamu Atoll in the Maldives, driven by Blue Marine’s research, advocacy and community education and outreach efforts as part of the #EkuEkyLaamu campaign.",,1.2.2,designated km2,1,1.0,,,Historic,19,,62,6200010701.0
647,20,Maldives,,,2022,3,"Signed MoU to support designation of a marine conservation area on Laamu - protecting Grouper and Natpoleon wrasse and a manta ray cleaning station in addition to coral reefs, seagrasses and providing a refuge to other endangered species. ",,1.4.1,Number of species and/or habitats ,1,1.0,,,Historic,62,,62,6200010702.0
636,20,Maldives,,,2022,1,"fish biomass on the reef, ",,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,1,,62,6200010703.0
649,20,Maldives,,,2019,1,"¼of all resorts in the Maldives pledged to protect more than 830,000m2 of seagrass",,1.4.1,Number of species and/or habitats ,1,1.0,,,Historic,17,,62,6200010704.0
638,20,Maldives,,,2022,1,Napoleon wrasse publication.,,1.1.1,"Reports, investigations, published papers or similar",1,0.0,,,Historic,1,,62,6200010705.0
650,20,Maldives,,,2021,2,BLUE launched #FishForTomorrow in the Maldives to familiarise people with vulnerable reef fish. The campaign secured public support for the protection of giant grouper and all species of parrotfish. Maldives,,1.4.1,Number of species and/or habitats ,0,1.0,,,Historic,18,,62,6200010706.0
