id,output_id,code,description,status,notes
11000204990407,11000204,A.4.7,Produce whale shark research summary report.,,
None990502,,A.5.2,Blue Marine Produce a concept note for review by partners ,Complete,
None990503,,A.5.3,Funding applications and proposals are completed,In Progress,
None990504,,A.5.4,"Teachers, Blue Marine Team and partners plan and produce educational materials ",Not started,
None990505,,A.5.5,Programmes advertised and participants sign up / are selected ,Complete,
None990506,,A.5.6,Timetable of delivery is created ,Not started,
None990507,,A.5.7,Venues booked for teaching where necessary,Complete,
None990508,,A.5.8,Materials for teaching/fieldtrips/fieldwork sourced and distributed 		,In Progress,
None990509,,A.5.9,Lessons and trips delivered ,In Progress,
None990510,,A.5.10,"Distribution of post-course questioniare to knowledge gain, transfer and behaviour change",Not started,
None990511,,A.5.11,Participants provide feedback ,Not started,
None990512,,A.5.12,,,
